Game Name,AppID,Owners,Players (2 Weeks),Peak Players,Price,Developer,Publisher,Genres
Dota 2,570,"200,000,000 .. 500,000,000",1489,678595,0,Valve,Valve,
PUBG: BATTLEGROUNDS,578080,"100,000,000 .. 200,000,000",861,714807,0,PUBG Corporation,"KRAFTON, Inc.",
Apex Legends,1172470,"50,000,000 .. 100,000,000",380,169665,0,Respawn,Electronic Arts,
Team Fortress 2,440,"50,000,000 .. 100,000,000",1385,54559,0,Valve,Valve,
Palworld,1623730,"50,000,000 .. 100,000,000",4,19739,2999,Pocketpair,Pocketpair,
New World: Aeternum,1063730,"50,000,000 .. 100,000,000",669,18728,7999,Amazon Games,Amazon Games,
Counter-Strike: Global Offensive,730,"50,000,000 .. 100,000,000",658,1424182,0,Valve,Valve,
Black Myth: Wukong,2358720,"50,000,000 .. 100,000,000",469,77758,5999,Game Science,Game Science,
Call of Duty: Modern Warfare II,1938090,"50,000,000 .. 100,000,000",1183,132563,9999,"Treyarch, Raven Software, Beenox, High Moon Studios, Activision Shanghai, Sledgehammer Games, Infinity Ward, Demonware, Toys for Bob",Activision,
Grand Theft Auto V,271590,"50,000,000 .. 100,000,000",395,162782,2998,Rockstar North,Rockstar Games,
Left 4 Dead 2,550,"50,000,000 .. 100,000,000",134,41607,999,Valve,Valve,
Lost Ark,1599340,"50,000,000 .. 100,000,000",30,17942,0,Smilegate RPG,Amazon Games,
Unturned,304930,"50,000,000 .. 100,000,000",214,19785,0,Smartly Dressed Games,Smartly Dressed Games,
HELLDIVERS 2,553850,"20,000,000 .. 50,000,000",608,23077,3999,Arrowhead Game Studios,PlayStation Publishing LLC,
War Thunder,236390,"20,000,000 .. 50,000,000",863,89331,0,Gaijin Entertainment,Gaijin Network Ltd,
ELDEN RING,1245620,"20,000,000 .. 50,000,000",593,36565,5999,"FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment",
Brawlhalla,291550,"20,000,000 .. 50,000,000",87,10263,0,Blue Mammoth Games,Ubisoft,
